X,Y,OBJECTID,BLOCK_NAME,ZIP_CODE,YEAR,COMMENTS,DATA_SOURCE
-75.1514381402515,40.0001672546311,21,1300 Block of W CLEMENTINE ST,19132,2020,,2020 Playstreets Program
-75.115140527239,40.0242682849024,22,4900 Block of GRANSBACK ST,19120,2020,,2020 Playstreets Program
-75.1170711492221,40.0198303278348,23,4600 Block of HURLEY ST,19120,2020,,2020 Playstreets Program
-75.2375143155899,39.9738310181401,24,1400 Block of N HOBART ST,19131,2020,,2020 Playstreets Program
-75.1018556090306,39.9931884312731,25,3400 Block of WEIKEL ST,19134,2020,,2020 Playstreets Program
-75.1085910456057,39.9943859100671,26,3200 Block of JOYCE ST,19134,2020,,2020 Playstreets Program
-75.2390402307115,39.9556551144951,27,5800 Block of DELANCEY ST,19143,2020,,2020 Playstreets Program
-75.1674860665503,39.9853698850999,28,2000 Block of N LAMBERT ST,19121,2020,,2020 Playstreets Program
-75.1825201753383,39.9967380038545,29,2600 Block of N NAPA ST,19132,2020,,2020 Playstreets Program
-75.1441025224462,39.9996515171723,30,3100 Block of N DARIEN ST,19133,2020,,2020 Playstreets Program
-75.2422153414255,39.9584451125496,31,200 Block of S EDGEWOOD ST,19139,2020,,2020 Playstreets Program
-75.1342770269542,39.976376912415,32,100 Block of W PALMER ST,19122,2020,,2020 Playstreets Program
-75.0651751910312,40.0139565221946,33,2100 Block of SHALLCROSS ST,19124,2020,,2020 Playstreets Program
-75.2284722133103,39.9696935931406,34,600 Block of N 54TH ST,19131,2020,,2020 Playstreets Program
-75.0989670585213,40.0095589573823,35,4100 Block of MARKLAND ST,19124,2020,,2020 Playstreets Program
-75.157082375378,40.0501113359853,36,6200 Block of N BEECHWOOD ST,19138,2020,,2020 Playstreets Program
-75.1471553323584,39.9909133798254,37,2500 Block of N HUTCHINSON ST,19133,2020,,2020 Playstreets Program
-75.1630097605031,39.9879846592418,38,2200 Block of N CLEVELAND ST,19132,2020,,2020 Playstreets Program
-75.1468377265907,40.0078721461179,39,3600 Block of N MARVINE ST,19140,2020,,2020 Playstreets Program
-75.1808675725814,39.9865558941426,40,2000 Block of N 29TH ST,19121,2020,,2020 Playstreets Program
-75.2307969911696,39.9314587187602,41,6000 Block of REINHARD ST,19142,2020,,2020 Playstreets Program
-75.175088698542,39.9799505670298,42,2400 Block of TURNER ST,19121,2020,,2020 Playstreets Program
-75.1459563156454,39.9857825839355,43,2200 Block of N FRANKLIN ST,19133,2020,,2020 Playstreets Program
-75.152273142658,39.9963367840221,44,1300 Block of W WILLIAM ST,19132,2020,,2020 Playstreets Program
-75.1700703323907,40.0030025140803,45,3100 Block of N TAYLOR ST,19132,2020,,2020 Playstreets Program
-75.1825134487933,39.9376944838895,46,1200 Block of S BONSALL ST,19146,2020,,2020 Playstreets Program
-75.1749584154344,39.9955748237761,47,2600 Block of W HAROLD ST,19132,2020,,2020 Playstreets Program
-75.1921477134659,39.9341764029454,48,1500 Block of S DOVER ST,19146,2020,,2020 Playstreets Program
-75.2151741029118,39.9400398061537,49,1300 Block of DIVINITY ST,19143,2020,,2020 Playstreets Program
-75.0905075459682,40.0161494886729,50,1300 Block of SELLERS ST,19124,2020,,2020 Playstreets Program
-75.163950158942,39.9772964053039,51,1500 Block of N BOUVIER ST,19121,2020,,2020 Playstreets Program
-75.162253696873,40.0299580276278,52,0 Block of E CLAPIER ST,19144,2020,0-99 Street Range,2020 Playstreets Program
-75.1837012783975,39.9268130118958,53,2000 Block of S HEMBERGER ST,19145,2020,,2020 Playstreets Program
-75.1861338963079,39.9308953550687,54,1700 Block of S TAYLOR ST,19145,2020,,2020 Playstreets Program
